C:\Users\forme\Desktop\docs\IMG\center_2017_04_14_10_51_31_160.jpg,C:\Users\forme\Desktop\docs\IMG\left_2017_04_14_10_51_31_160.jpg,C:\Users\forme\Desktop\docs\IMG\right_2017_04_14_10_51_31_160.jpg,0,0,0,3.835525E-06
C:\Users\forme\Desktop\docs\IMG\center_2017_04_14_10_51_31_225.jpg,C:\Users\forme\Desktop\docs\IMG\left_2017_04_14_10_51_31_225.jpg,C:\Users\forme\Desktop\docs\IMG\right_2017_04_14_10_51_31_225.jpg,0,0,0,8.678694E-06
C:\Users\forme\Desktop\docs\IMG\center_2017_04_14_10_51_31_293.jpg,C:\Users\forme\Desktop\docs\IMG\left_2017_04_14_10_51_31_293.jpg,C:\Users\forme\Desktop\docs\IMG\right_2017_04_14_10_51_31_293.jpg,0,0,0,1.650841E-06
C:\Users\forme\Desktop\docs\IMG\center_2017_04_14_10_51_31_361.jpg,C:\Users\forme\Desktop\docs\IMG\left_2017_04_14_10_51_31_361.jpg,C:\Users\forme\Desktop\docs\IMG\right_2017_04_14_10_51_31_361.jpg,0,0,0,1.82607E-06
C:\Users\forme\Desktop\docs\IMG\center_2017_04_14_10_51_31_429.jpg,C:\Users\forme\Desktop\docs\IMG\left_2017_04_14_10_51_31_429.jpg,C:\Users\forme\Desktop\docs\IMG\right_2017_04_14_10_51_31_429.jpg,0,0,0,4.495196E-06
C:\Users\forme\Desktop\docs\IMG\center_2017_04_14_10_51_31_497.jpg,C:\Users\forme\Desktop\docs\IMG\left_2017_04_14_10_51_31_497.jpg,C:\Users\forme\Desktop\docs\IMG\right_2017_04_14_10_51_31_497.jpg,0,0,0,2.641761E-06
C:\Users\forme\Desktop\docs\IMG\center_2017_04_14_10_51_31_564.jpg,C:\Users\forme\Desktop\docs\IMG\left_2017_04_14_10_51_31_564.jpg,C:\Users\forme\Desktop\docs\IMG\right_2017_04_14_10_51_31_564.jpg,0,0,0,8.990664E-07
C:\Users\forme\Desktop\docs\IMG\center_2017_04_14_10_51_31_634.jpg,C:\Users\forme\Desktop\docs\IMG\left_2017_04_14_10_51_31_634.jpg,C:\Users\forme\Desktop\docs\IMG\right_2017_04_14_10_51_31_634.jpg,0,0,0,3.925165E-06
C:\Users\forme\Desktop\docs\IMG\center_2017_04_14_10_51_31_701.jpg,C:\Users\forme\Desktop\docs\IMG\left_2017_04_14_10_51_31_701.jpg,C:\Users\forme\Desktop\docs\IMG\right_2017_04_14_10_51_31_701.jpg,0,0,0,1.372363E-06
C:\Users\forme\Desktop\docs\IMG\center_2017_04_14_10_51_31_769.jpg,C:\Users\forme\Desktop\docs\IMG\left_2017_04_14_10_51_31_769.jpg,C:\Users\forme\Desktop\docs\IMG\right_2017_04_14_10_51_31_769.jpg,0,0,0,1.142513E-06
